keyword,match_type,impressions,clicks,cost,conversions,CPA,impression_share
reserveonderdelen scheepsmotor,Exact,7900,289,445.10,15,29.67,88
marine spare parts,Exact,4950,180,275.40,9,30.60,82
scheepsonderdelen kopen,Phrase,6500,230,350.20,8,43.78,58
onderdelen buitenboordmotor,Phrase,3200,145,185.60,6,30.93,50
boot reserveonderdelen,Broad,11500,455,640.80,5,128.16,35
scheepsmotor onderdelen,Broad,9200,375,545.90,14,38.99,42
Volvo Penta onderdelen,Exact,4300,165,245.30,11,22.30,93
offshore spare parts NL,Phrase,1950,60,88.50,3,29.50,40
gratis scheepsonderdelen,Broad,7100,270,398.40,0,0.00,68
scheeps accessoires,Broad,5000,185,265.30,3,88.43,31
marine engine parts supplier,Exact,3600,132,178.90,8,22.36,60
onderhoud scheepsmotor,Broad,3950,152,205.70,4,51.43,40
scheepsdieselmotor onderdelen,Broad,5700,218,325.40,11,29.58,47
tweedehands scheepsonderdelen,Broad,3400,175,245.60,2,122.80,25
onderhoud vaartuig accessoires,Broad,2100,88,110.40,1,110.40,22
